employeeId,course_name,completion_date,skill_category,hours_completed
EMP001,Advanced React Patterns,2023-11-15,Frontend,40
EMP001,AWS Solutions Architect,2023-10-20,Cloud,60
EMP002,Machine Learning Advanced,2023-12-01,Data Science,80
EMP002,Python for Data Science,2023-09-15,Programming,50
EMP003,Product Leadership,2023-11-30,Management,35
EMP003,Agile Certification,2023-08-10,Methodology,25
EMP004,TypeScript Fundamentals,2023-10-05,Programming,30
EMP004,UI/UX Design Principles,2023-09-20,Design,45
EMP005,Advanced SQL,2023-11-10,Database,35
EMP005,Tableau Advanced,2023-10-15,Analytics,40
